epoch,best
0,0.014442655137393946
1,0.014442655137393946
2,0.014442655137393946
3,0.014442655137393946
4,0.014442655137393946
5,0.014442655137393946
6,0.014442655137393946
7,0.014442655137393946
8,0.014442655137393946
9,0.014442655137393946
10,0.007684994316267573
11,0.0071306289159711565
12,0.000744431974418253
13,0.000744431974418253
14,0.000744431974418253
15,0.000744431974418253
16,0.000744431974418253
17,0.000744431974418253
18,0.000744431974418253
19,0.000744431974418253
20,0.000744431974418253
21,0.000744431974418253
22,0.000744431974418253
23,0.000744431974418253
24,0.000744431974418253
25,0.000744431974418253
26,0.000744431974418253
27,8.448904529296917e-05
28,8.448904529296917e-05
29,8.448904529296917e-05
30,8.448904529296917e-05
31,8.448904529296917e-05
32,8.448904529296917e-05
33,8.448904529296917e-05
34,8.448904529296917e-05
35,8.448904529296917e-05
36,8.448904529296917e-05
37,8.448904529296917e-05
38,8.448904529296917e-05
39,8.448904529296917e-05
40,8.448904529296917e-05
41,8.448904529296917e-05
42,8.448904529296917e-05
43,8.448904529296917e-05
44,8.448904529296917e-05
45,8.448904529296917e-05
46,7.321992713134592e-05
47,7.321992713134592e-05
48,7.321992713134592e-05
49,7.321992713134592e-05
50,7.321992713134592e-05
51,4.315659606514707e-06
52,4.315659606514707e-06
53,4.315659606514707e-06
54,4.315659606514707e-06
55,4.315659606514707e-06
56,4.315659606514707e-06
57,4.315659606514707e-06
58,4.315659606514707e-06
59,4.315659606514707e-06
60,4.315659606514707e-06
61,4.315659606514707e-06
62,4.315659606514707e-06
63,4.315659606514707e-06
64,4.315659606514707e-06
65,4.315659606514707e-06
66,4.315659606514707e-06
67,4.315659606514707e-06
68,4.315659606514707e-06
69,4.315659606514707e-06
70,4.315659606514707e-06
71,4.315659606514707e-06
72,4.315659606514707e-06
73,4.315659606514707e-06
74,4.315659606514707e-06
75,4.315659606514707e-06
76,4.315659606514707e-06
77,4.315659606514707e-06
78,4.315659606514707e-06
79,4.315659606514707e-06
80,4.315659606514707e-06
81,4.315659606514707e-06
82,4.315659606514707e-06
83,4.315659606514707e-06
84,4.315659606514707e-06
85,4.315659606514707e-06
86,4.315659606514707e-06
87,4.315659606514707e-06
88,4.315659606514707e-06
89,4.315659606514707e-06
90,4.315659606514707e-06
91,4.315659606514707e-06
92,4.315659606514707e-06
93,4.315659606514707e-06
94,4.315659606514707e-06
95,4.315659606514707e-06
96,4.315659606514707e-06
97,4.315659606514707e-06
98,4.315659606514707e-06
99,4.315659606514707e-06
100,4.315659606514707e-06
101,4.315659606514707e-06
102,4.315659606514707e-06
103,4.315659606514707e-06
104,4.315659606514707e-06
105,4.315659606514707e-06
106,4.315659606514707e-06
107,4.315659606514707e-06
108,4.315659606514707e-06
109,4.315659606514707e-06
110,4.315659606514707e-06
111,4.315659606514707e-06
112,4.315659606514707e-06
113,4.315659606514707e-06
114,4.315659606514707e-06
115,4.315659606514707e-06
116,4.315659606514707e-06
117,4.315659606514707e-06
118,4.315659606514707e-06
119,4.315659606514707e-06
120,4.315659606514707e-06
