epoch,best
0,0.030977864464284077
1,0.023752208959348552
2,0.021921981454801856
3,0.021339196655775595
4,0.020959705876888755
5,0.020959705876888755
6,0.020543359142500696
7,0.012895740595594169
8,0.0028044052623082956
9,0.002471190380575426
10,0.00021829337377913003
11,0.0001617054493523631
12,0.00016159405623689116
13,0.00016159405623689116
14,0.00016159405623689116
15,0.00016150956608689416
16,0.00016150956608689416
17,0.0001584935220102925
18,0.0001584935220102925
19,0.0001570619114082292
20,0.0001570619114082292
21,0.0001570619114082292
22,0.0001570619114082292
23,0.0001570619114082292
24,0.0001570619114082292
25,1.2889222250305743e-05
26,1.2889222250305743e-05
27,1.2889222250305743e-05
28,1.2437446559441356e-05
29,1.2415633202552514e-05
30,1.2415633202552514e-05
31,1.223365675127293e-05
32,1.223365675127293e-05
33,1.223365675127293e-05
34,1.223365675127293e-05
35,1.223365675127293e-05
36,6.6893245976386915e-06
37,6.688720287118946e-06
38,4.58400717393624e-06
39,4.58400717393624e-06
40,4.58400717393624e-06
41,4.369338468091496e-06
42,4.369338468091496e-06
43,4.369338468091496e-06
44,4.369338468091496e-06
45,2.246179715392325e-06
46,2.246179715392325e-06
47,2.246179715392325e-06
48,2.246179715392325e-06
49,2.246179715392325e-06
50,2.246179715392325e-06
51,2.244405097896516e-06
52,2.244405097896516e-06
53,2.242655406042182e-06
54,2.242655406042182e-06
55,2.242655406042182e-06
56,2.242655406042182e-06
57,2.242655406042182e-06
58,2.242655406042182e-06
59,2.24233917509384e-06
60,2.24233917509384e-06
61,2.24233917509384e-06
62,2.24233917509384e-06
63,2.24233917509384e-06
64,2.24233917509384e-06
65,2.2423090452757797e-06
66,4.6434555890433063e-07
67,4.6434555890433063e-07
68,4.6434555890433063e-07
69,4.4672419831235134e-07
70,4.4672419831235134e-07
71,3.940500409484862e-07
72,2.5093852823775193e-07
73,2.5093852823775193e-07
74,2.5093852823775193e-07
75,2.5093852823775193e-07
76,2.5093852823775193e-07
77,2.4963625971307414e-07
78,2.4963625971307414e-07
79,2.4963625971307414e-07
80,2.4951211585300803e-07
81,2.4951211585300803e-07
82,2.4943179857278336e-07
83,2.4943179857278336e-07
84,2.4943179857278336e-07
85,2.4943179857278336e-07
86,2.4943179857278336e-07
87,2.4943179857278336e-07
88,2.4943179857278336e-07
89,2.4943179857278336e-07
90,2.4943179857278336e-07
91,2.4943179857278336e-07
92,2.4943179857278336e-07
93,2.4943179857278336e-07
94,2.4943179857278336e-07
95,2.4943179857278336e-07
96,2.4943179846444017e-07
97,2.4943179846444017e-07
98,2.4943179846444017e-07
99,2.494313494030639e-07
100,2.494313494030639e-07
101,2.494313494030639e-07
102,2.4934515411623133e-07
103,2.4934515411623133e-07
104,2.4934515411623133e-07
105,2.4934515411623133e-07
106,2.4934464956953025e-07
107,2.4934464956953025e-07
108,2.4934464956953025e-07
109,2.4934464956953025e-07
110,2.4934464956953025e-07
111,2.4934464956953025e-07
112,2.4934464956953025e-07
113,2.4934464956953025e-07
114,2.4934464956953025e-07
115,2.4934464956953025e-07
116,2.4934464956953025e-07
117,2.4934464956953025e-07
118,2.4934464956953025e-07
119,2.4934464956953025e-07
120,2.4934464956953025e-07
