epoch,best
0,0.26742829024434506
1,0.10996350428233037
2,0.006233310666337568
3,0.006233310666337568
4,0.006233310666337568
5,0.006233310666337568
6,0.006233310666337568
7,0.006233310666337568
8,0.005962202336920264
9,0.005962202336920264
10,0.005962202336920264
11,0.005962202336920264
12,0.005122929937190116
13,0.005122929937190116
14,0.005122929937190116
15,0.005122929937190116
16,0.005122929937190116
17,9.172434286821688e-05
18,9.172434286821688e-05
19,9.172434286821688e-05
20,9.172434286821688e-05
21,9.172434286821688e-05
22,9.172434286821688e-05
23,9.172434286821688e-05
24,9.172434286821688e-05
25,9.172434286821688e-05
26,9.172434286821688e-05
27,9.172434286821688e-05
28,9.172434286821688e-05
29,9.172434286821688e-05
30,9.172434286821688e-05
31,9.172434286821688e-05
32,9.172434286821688e-05
33,9.172434286821688e-05
34,4.601391436208854e-05
35,4.601391436208854e-05
36,4.601391436208854e-05
37,4.601391436208854e-05
38,4.601391436208854e-05
39,4.601391436208854e-05
40,4.601391436208854e-05
41,4.601391436208854e-05
42,3.742389012158103e-05
43,3.742389012158103e-05
44,3.742389012158103e-05
45,3.742389012158103e-05
46,3.742389012158103e-05
47,3.742389012158103e-05
48,3.742389012158103e-05
49,3.742389012158103e-05
50,3.742389012158103e-05
51,3.742389012158103e-05
52,3.742389012158103e-05
53,3.742389012158103e-05
54,3.742389012158103e-05
55,3.742389012158103e-05
56,3.742389012158103e-05
57,3.742389012158103e-05
58,3.742389012158103e-05
59,3.742389012158103e-05
60,3.55826332299599e-05
61,3.55826332299599e-05
62,3.55826332299599e-05
63,3.55826332299599e-05
64,3.55826332299599e-05
65,3.55826332299599e-05
66,3.55826332299599e-05
67,3.55826332299599e-05
68,3.55826332299599e-05
69,3.55826332299599e-05
70,3.55826332299599e-05
71,3.55826332299599e-05
72,3.55826332299599e-05
73,3.55826332299599e-05
74,3.55826332299599e-05
75,3.55826332299599e-05
76,3.55826332299599e-05
77,3.55826332299599e-05
78,3.55826332299599e-05
79,3.55826332299599e-05
80,3.55826332299599e-05
81,3.55826332299599e-05
