epoch,best
0,0.003290080367174629
1,0.0028598821154080987
2,0.0028598821154080987
3,0.0028598821154080987
4,0.0028595933709252997
5,0.0028584264891194644
6,0.0028584264891194644
7,0.0028584264891194644
8,0.0028542861942574874
9,0.0028542861942574874
10,0.0028542861942574874
11,0.0028542861942574874
12,0.0028532107542835325
13,0.0028471038110362353
14,0.0028471038110362353
15,0.0028471038110362353
16,0.0028471038110362353
17,0.0028471038110362353
18,0.0007146321068605047
19,0.0007146321068605047
20,0.0007146321068605047
21,0.00016891612517015958
22,0.00014099507825023172
23,0.00012237909412199724
24,0.00011956810269819906
25,7.23230350458229e-05
26,7.23230350458229e-05
27,7.23230350458229e-05
28,7.232266862588825e-05
29,7.232266862588825e-05
30,5.618195181623259e-05
31,5.618195181623259e-05
32,4.119732012526674e-05
33,4.119732012526674e-05
34,4.119732012526674e-05
35,4.119732012526674e-05
36,4.119732012526674e-05
37,4.11850950294045e-05
38,4.102554019126859e-05
39,4.102554019126859e-05
40,4.102554019126859e-05
41,4.102554019126859e-05
42,1.9697918840699034e-05
43,1.969791455415827e-05
44,1.969791455415827e-05
45,1.969791455415827e-05
46,1.887780510550268e-05
47,1.887780510550268e-05
48,1.887780510550268e-05
49,1.887780510550268e-05
50,1.887780510550268e-05
51,1.887780510550268e-05
52,1.67219326117021e-05
53,1.67219326117021e-05
54,1.67219326117021e-05
55,1.671893326370964e-05
56,1.671893326370964e-05
57,1.671893326370964e-05
58,1.6710814926877266e-05
59,1.6710814926877266e-05
60,1.6710814926877266e-05
61,1.6710814926877266e-05
62,1.6710814926877266e-05
63,1.6710814926877266e-05
64,1.6710814926877266e-05
65,1.6710814926877266e-05
66,1.6631723974437292e-05
67,1.6631723974437292e-05
68,1.6631723974437292e-05
69,1.6631723974437292e-05
70,1.6631723974437292e-05
71,1.6631723974437292e-05
72,1.6631723974437292e-05
73,1.6631723974437292e-05
74,1.6631723974437292e-05
75,1.6631723974437292e-05
76,1.6631723974437292e-05
77,1.6599878621468703e-05
78,1.656025393086717e-05
79,1.656025393086717e-05
80,1.656025393086717e-05
81,1.6545409715170884e-05
82,1.6303141833684547e-05
83,1.6303141833684547e-05
84,1.6303141833684547e-05
85,1.6303141833684547e-05
86,1.6303141833684547e-05
87,1.6166834446011838e-05
88,1.6166834446011838e-05
89,1.6166834446011838e-05
90,1.6166834446011838e-05
91,1.603939732275303e-05
92,1.603939732275303e-05
93,1.603939732275303e-05
94,1.603939732275303e-05
95,1.603939732275303e-05
96,1.603939732275303e-05
97,1.603939732275303e-05
98,1.603939732275303e-05
99,1.6035504350081983e-05
100,1.6035504350081983e-05
101,1.6035504350081983e-05
102,1.6035504350081983e-05
103,1.6035504350081983e-05
104,1.6035504350081983e-05
105,1.6035504350081983e-05
106,1.6034216716514372e-05
107,1.6034216716514372e-05
108,1.6034216716514372e-05
109,1.6034100700578734e-05
110,1.6034100700578734e-05
111,1.6034100700578734e-05
112,1.6034100700578734e-05
113,1.6034100700578734e-05
114,1.6034100700578734e-05
115,1.6034100700578734e-05
116,1.6034100700578734e-05
117,1.6034100700578734e-05
118,1.6034100700578734e-05
119,1.6034078182168228e-05
120,1.6034078182168228e-05
