epoch,best
0,0.1102399415108971
1,0.0010731447133226406
2,0.0009271351357838498
3,9.918235654194586e-05
4,8.994415490247516e-05
5,2.227935738042662e-05
6,2.227935738042662e-05
7,4.977346036559256e-06
8,1.2204253480984583e-06
9,1.1980762288658714e-06
10,1.198018930592146e-06
11,1.1397600857043986e-06
12,1.1397600857043986e-06
13,1.1397600857043986e-06
14,1.1397600857043986e-06
15,1.0821633875269683e-06
16,1.1292220414979626e-08
17,3.905769806243984e-09
18,3.905769806243984e-09
19,3.901022759180596e-09
20,3.901022759180596e-09
21,3.901022759180596e-09
22,3.901022759180596e-09
23,3.901022759180596e-09
24,3.901022759180596e-09
25,3.901022759180596e-09
26,3.901022759180596e-09
27,3.901022759180596e-09
28,3.901022759180596e-09
29,3.901022759180596e-09
30,3.900951582344377e-09
31,3.900951582344377e-09
32,3.89906768217271e-09
33,3.89906768217271e-09
34,3.89906768217271e-09
35,3.89906768217271e-09
36,3.89906768217271e-09
37,3.89906768217271e-09
