epoch,best
0,0.20994819076580068
1,0.0797046075168076
2,0.007297001791425218
3,0.007297001791425218
4,0.007297001791425218
5,0.007297001791425218
6,0.007297001791425218
7,0.007297001791425218
8,0.007297001791425218
9,0.007297001791425218
10,0.007297001791425218
11,0.007297001791425218
12,0.007297001791425218
13,0.005855677585153785
14,0.0019647642229020544
15,0.0019647642229020544
16,2.78162398372983e-05
17,2.78162398372983e-05
18,2.78162398372983e-05
19,2.78162398372983e-05
20,2.78162398372983e-05
21,2.78162398372983e-05
22,2.78162398372983e-05
23,2.78162398372983e-05
24,2.78162398372983e-05
25,2.78162398372983e-05
26,2.78162398372983e-05
27,2.78162398372983e-05
28,2.78162398372983e-05
29,2.78162398372983e-05
30,2.78162398372983e-05
31,2.78162398372983e-05
32,2.78162398372983e-05
33,2.78162398372983e-05
34,2.78162398372983e-05
35,2.78162398372983e-05
36,2.78162398372983e-05
37,2.78162398372983e-05
38,2.78162398372983e-05
39,2.78162398372983e-05
40,2.78162398372983e-05
41,2.78162398372983e-05
42,2.78162398372983e-05
43,2.78162398372983e-05
44,2.78162398372983e-05
45,2.78162398372983e-05
46,2.78162398372983e-05
47,2.78162398372983e-05
48,2.78162398372983e-05
49,2.78162398372983e-05
50,2.78162398372983e-05
51,2.78162398372983e-05
52,2.78162398372983e-05
53,2.78162398372983e-05
54,2.78162398372983e-05
55,2.78162398372983e-05
56,2.78162398372983e-05
57,2.78162398372983e-05
58,2.78162398372983e-05
59,2.78162398372983e-05
60,2.78162398372983e-05
61,2.78162398372983e-05
62,2.78162398372983e-05
63,2.78162398372983e-05
64,2.78162398372983e-05
65,2.78162398372983e-05
66,2.78162398372983e-05
67,2.78162398372983e-05
68,2.78162398372983e-05
69,2.78162398372983e-05
70,2.78162398372983e-05
71,2.78162398372983e-05
72,2.78162398372983e-05
73,2.78162398372983e-05
74,2.78162398372983e-05
75,2.78162398372983e-05
76,2.78162398372983e-05
77,2.78162398372983e-05
78,2.78162398372983e-05
79,2.78162398372983e-05
80,2.78162398372983e-05
81,2.78162398372983e-05
82,2.78162398372983e-05
83,2.78162398372983e-05
84,2.78162398372983e-05
85,2.78162398372983e-05
86,2.78162398372983e-05
87,2.78162398372983e-05
88,2.78162398372983e-05
89,2.78162398372983e-05
90,2.78162398372983e-05
91,2.78162398372983e-05
92,2.78162398372983e-05
93,2.78162398372983e-05
94,2.78162398372983e-05
95,2.78162398372983e-05
96,2.78162398372983e-05
97,2.78162398372983e-05
98,2.78162398372983e-05
99,2.78162398372983e-05
100,2.78162398372983e-05
101,2.78162398372983e-05
102,2.78162398372983e-05
103,2.78162398372983e-05
104,2.78162398372983e-05
105,2.78162398372983e-05
106,2.78162398372983e-05
107,2.78162398372983e-05
108,2.78162398372983e-05
109,2.78162398372983e-05
110,2.78162398372983e-05
111,2.78162398372983e-05
112,2.78162398372983e-05
113,2.78162398372983e-05
114,2.78162398372983e-05
115,2.78162398372983e-05
116,2.78162398372983e-05
117,2.78162398372983e-05
118,2.78162398372983e-05
119,2.78162398372983e-05
120,2.78162398372983e-05
